[ 2020-04-14 21:17:58 ] 获取阅读量失败, redis: client is closed
[ 2020-04-14 21:17:58 ] 添加阅读量失败, redis: client is closed
[ 2020-04-14 21:18:02 ] 获取阅读量失败, redis: client is closed
[ 2020-04-14 21:18:02 ] 添加阅读量失败, redis: client is closed
[ 2020-04-14 21:18:38 ] 读取缓存失败, redis: client is closed
[ 2020-04-14 21:18:38 ] 写入缓存失败, redis: client is closed
[ 2020-04-14 21:19:14 ] 读取缓存失败, redis: client is closed
[ 2020-04-14 21:19:14 ] 写入缓存失败, redis: client is closed
[ 2020-04-14 21:21:37 ] 读取缓存失败, dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
[ 2020-04-14 21:21:37 ] 写入缓存失败, redis: client is closed
[ 2020-04-14 21:22:15 ] 读取缓存失败, redis: client is closed
[ 2020-04-14 21:22:15 ] 写入缓存失败, redis: client is closed
[ 2020-04-14 21:22:24 ] 读取缓存失败, redis: client is closed
[ 2020-04-14 21:22:24 ] 写入缓存失败, redis: client is closed
[ 2020-04-14 21:22:46 ] 读取缓存失败, redis: client is closed
[ 2020-04-14 21:22:46 ] 写入缓存失败, redis: client is closed
[ 2020-04-14 21:25:17 ] 获取阅读量失败, redis: client is closed
[ 2020-04-14 21:25:17 ] 添加阅读量失败, redis: client is closed
[ 2020-04-14 21:25:36 ] 读取缓存失败, redis: client is closed
[ 2020-04-14 21:25:36 ] 写入缓存失败, redis: client is closed
[ 2020-04-14 21:26:47 ] 读取缓存失败, redis: client is closed
[ 2020-04-14 21:26:47 ] 写入缓存失败, redis: client is closed
[ 2020-04-14 21:27:29 ] 读取缓存失败, dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
[ 2020-04-14 21:27:30 ] 写入缓存失败, redis: client is closed
[ 2020-04-14 21:31:17 ] 读取缓存失败, dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
[ 2020-04-14 21:31:17 ] 写入缓存失败, redis: client is closed
[ 2020-04-14 21:34:21 ] 读取缓存失败, dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
[ 2020-04-14 21:34:21 ] 写入缓存失败, redis: client is closed
[ 2020-04-14 21:36:14 ] 读取缓存失败, dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
[ 2020-04-14 21:40:14 ] 读取缓存失败, dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
[ 2020-04-14 21:40:14 ] 写入缓存失败, redis: client is closed
[ 2020-04-14 21:48:30 ] 读取缓存失败, dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
[ 2020-04-14 21:48:39 ] 读取缓存失败, redis: client is closed
[ 2020-04-14 21:48:45 ] 读取缓存失败, redis: client is closed
[ 2020-04-14 21:48:48 ] 读取缓存失败, redis: client is closed
[ 2020-04-14 22:38:27 ] 读取缓存失败, dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
[ 2020-04-14 22:40:57 ] 读取缓存失败, dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
[ 2020-04-14 22:42:11 ] 读取缓存失败, dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
[ 2020-04-14 22:42:11 ] 写入缓存失败, redis: client is closed
[ 2020-04-14 22:42:55 ] 获取阅读量失败, redis: client is closed
[ 2020-04-14 22:42:55 ] 添加阅读量失败, redis: client is closed
[ 2020-04-14 22:43:15 ] 获取阅读量失败, redis: client is closed
[ 2020-04-14 22:43:15 ] 添加阅读量失败, redis: client is closed
[ 2020-04-14 22:43:20 ] 读取缓存失败, redis: client is closed
[ 2020-04-14 22:43:20 ] 写入缓存失败, redis: client is closed
[ 2020-04-14 22:43:38 ] 获取阅读量失败, redis: client is closed
[ 2020-04-14 22:43:38 ] 添加阅读量失败, redis: client is closed
[ 2020-04-14 22:44:33 ] 获取阅读量失败, redis: client is closed
[ 2020-04-14 22:44:33 ] 添加阅读量失败, redis: client is closed
[ 2020-04-15 09:42:50 ] 读取缓存失败, dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
[ 2020-04-15 09:42:50 ] 写入缓存失败, redis: client is closed
[ 2020-04-15 09:44:46 ] 读取缓存失败, redis: nil
[ 2020-04-15 09:44:46 ] 写入缓存失败, redis: client is closed
[ 2020-04-15 09:45:36 ] 读取缓存失败, redis: client is closed
[ 2020-04-15 09:45:36 ] 写入缓存失败, redis: client is closed
[ 2020-04-15 09:45:38 ] 读取缓存失败, redis: client is closed
[ 2020-04-15 09:45:38 ] 写入缓存失败, redis: client is closed
[ 2020-04-15 09:45:42 ] 读取缓存失败, redis: client is closed
[ 2020-04-15 09:45:42 ] 写入缓存失败, redis: client is closed
[ 2020-04-15 09:45:43 ] 读取缓存失败, redis: client is closed
[ 2020-04-15 09:45:43 ] 写入缓存失败, redis: client is closed
[ 2020-04-15 09:45:44 ] 读取缓存失败, redis: client is closed
[ 2020-04-15 09:45:44 ] 写入缓存失败, redis: client is closed
[ 2020-04-15 09:45:45 ] 读取缓存失败, redis: client is closed
[ 2020-04-15 09:45:45 ] 写入缓存失败, redis: client is closed
[ 2020-04-15 09:45:54 ] 读取缓存失败, redis: client is closed
[ 2020-04-15 09:45:54 ] 写入缓存失败, redis: client is closed
[ 2020-04-15 09:45:56 ] 读取缓存失败, redis: client is closed
[ 2020-04-15 09:45:56 ] 写入缓存失败, redis: client is closed
[ 2020-04-15 09:45:56 ] 读取缓存失败, redis: client is closed
[ 2020-04-15 09:45:56 ] 写入缓存失败, redis: client is closed
[ 2020-04-15 09:45:56 ] 读取缓存失败, redis: client is closed
[ 2020-04-15 09:45:56 ] 写入缓存失败, redis: client is closed
[ 2020-04-15 09:45:57 ] 读取缓存失败, redis: client is closed
[ 2020-04-15 09:45:57 ] 写入缓存失败, redis: client is closed
[ 2020-04-15 09:45:58 ] 读取缓存失败, redis: client is closed
[ 2020-04-15 09:45:58 ] 写入缓存失败, redis: client is closed
[ 2020-04-15 09:45:59 ] 读取缓存失败, redis: client is closed
[ 2020-04-15 09:45:59 ] 写入缓存失败, redis: client is closed
[ 2020-04-15 09:46:01 ] 读取缓存失败, redis: client is closed
[ 2020-04-15 09:46:01 ] 写入缓存失败, redis: client is closed
[ 2020-04-15 09:46:34 ] 读取缓存失败, redis: client is closed
[ 2020-04-15 09:46:34 ] 写入缓存失败, redis: client is closed
[ 2020-04-15 09:46:37 ] 读取缓存失败, redis: client is closed
[ 2020-04-15 09:46:37 ] 写入缓存失败, redis: client is closed
[ 2020-04-15 09:46:40 ] 读取缓存失败, redis: client is closed
[ 2020-04-15 09:46:40 ] 写入缓存失败, redis: client is closed
[ 2020-04-15 09:46:41 ] 读取缓存失败, redis: client is closed
[ 2020-04-15 09:46:41 ] 写入缓存失败, redis: client is closed
[ 2020-04-15 09:46:42 ] 读取缓存失败, redis: client is closed
[ 2020-04-15 09:46:42 ] 写入缓存失败, redis: client is closed
[ 2020-04-15 09:46:44 ] 读取缓存失败, redis: client is closed
[ 2020-04-15 09:46:44 ] 写入缓存失败, redis: client is closed
[ 2020-04-15 09:46:47 ] 读取缓存失败, redis: client is closed
[ 2020-04-15 09:46:47 ] 写入缓存失败, redis: client is closed
[ 2020-04-15 09:46:51 ] 读取缓存失败, redis: client is closed
[ 2020-04-15 09:46:51 ] 写入缓存失败, redis: client is closed
[ 2020-04-15 09:46:54 ] 读取缓存失败, redis: client is closed
[ 2020-04-15 09:46:54 ] 写入缓存失败, redis: client is closed
[ 2020-04-15 09:49:30 ] 读取缓存失败, redis: client is closed
